编号,姓名,属性,弱点,数据,imgs
1,妙蛙种子,草毒,火冰飛行超能力,身高0.7 m分類種子寶可夢體重6.9 kg性別/特性茂盛特性茂盛ＨＰ減少的時候，草屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/cf47f9fac4ed3037ff2a8ea83204e32aff8fb5f3.png
2,妙蛙草,草毒,火冰飛行超能力,身高1.0 m分類種子寶可夢體重13.0 kg性別/特性茂盛特性茂盛ＨＰ減少的時候，草屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/3245e4f8c04aa0619cb31884dbf123c6918b3700.png
3,妙蛙花,草毒,火冰飛行超能力,身高2.0 m分類種子寶可夢體重100.0 kg性別/特性茂盛特性茂盛ＨＰ減少的時候，草屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/0186d64c5773c8d3d03cd05dc79574b2d2798d4f.png
3,超级妙蛙花,草毒,火冰飛行超能力,身高2.4 m分類種子寶可夢體重155.5 kg性別/特性厚脂肪特性厚脂肪被厚厚的脂肪保護著，能夠讓火屬性和冰屬性招式的傷害減半。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/3bfcc4360c44f37815dc1e59f75818935cbfc41b.png
3,妙蛙花,草毒,火冰飛行超能力,身高24.0 m〜分類-體重???.? kg性別/特性茂盛特性茂盛ＨＰ減少的時候，草屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/6b55babb3825ef9fa9e5d9ff44a14bdb8406ce97.png
4,小火龙,火,水地面岩石,身高0.6 m分類蜥蜴寶可夢體重8.5 kg性別/特性猛火特性猛火ＨＰ減少的時候，火屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/d0ee81f16175c97770192fb691fdda8da1f4f349.png
5,火恐龙,火,水地面岩石,身高1.1 m分類火焰寶可夢體重19.0 kg性別/特性猛火特性猛火ＨＰ減少的時候，火屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/285395ca77d82861fd30cea64567021a50c1169c.png
6,喷火龙,火飛行,水電岩石,身高1.7 m分類火焰寶可夢體重90.5 kg性別/特性猛火特性猛火ＨＰ減少的時候，火屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2050f1fd1283f473d7d048f8631712e7e003f802.png
6,超级喷火龙Ｘ,火龍,地面岩石龍,身高1.7 m分類火焰寶可夢體重110.5 kg性別/特性硬爪特性硬爪接觸到對手的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/ca3db4aad5c85a525d9be86852b26db1db7a22c0.png
6,超级喷火龙Ｙ,火飛行,水電岩石,身高1.7 m分類火焰寶可夢體重100.5 kg性別/特性日照特性日照出場時，會將天氣變為晴朗。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/0aa78a0061bda9d88cbb0bbf739cd9cc56522fe9.png
6,喷火龙,火飛行,水電岩石,身高28.0 m〜分類-體重???.? kg性別/特性猛火特性猛火ＨＰ減少的時候，火屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2fd12098f15628cce80d411e090189aeb7d758ff.png
7,杰尼龟,水,草電,身高0.5 m分類小龜寶可夢體重9.0 kg性別/特性激流特性激流ＨＰ減少的時候，水屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/5794f0251b1180998d72d1f8568239620ff5279c.png
8,卡咪龟,水,草電,身高1.0 m分類龜寶可夢體重22.5 kg性別/特性激流特性激流ＨＰ減少的時候，水屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/a3bc17e6215031332462cc64e59b7922ddd14b91.png
9,水箭龟,水,草電,身高1.6 m分類甲殼寶可夢體重85.5 kg性別/特性激流特性激流ＨＰ減少的時候，水屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/2fe157db59153af8abd636ab03c7df6f28b08242.png
9,超级水箭龟,水,草電,身高1.6 m分類甲殼寶可夢體重101.1 kg性別/特性超級發射器特性超級發射器波動和波導類招式的威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/00186af714a048895ba8116e71b08671c3cfb8f5.png
9,水箭龟,水,草電,身高25.0 m〜分類-體重???.? kg性別/特性激流特性激流ＨＰ減少的時候，水屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/50eba0f85c4e9a039be078e7de0b10acc7323264.png
9,水箭龟,水,草電,身高25.0 m〜分類-體重???.? kg性別/特性激流特性激流ＨＰ減少的時候，水屬性的招式威力會提高。,https://tw.portal-pokemon.com/play/resources/pokedex/img/pm/50eba0f85c4e9a039be078e7de0b10acc7323264.png
