姓名,属性,弱点,身高,体重,特征,分类,图鉴信息,附加信息,
妙蛙种子,草毒,火冰飞行超能力,0.7,6.9,茂盛,羅盤寶可夢,会看到它在太阳底下睡午觉的样子。在沐浴了充足的阳光后，它背上的种子就会茁壮成长。,ＨＰ减少的时候，草属的招式威力会提高。,
妙蛙草,草毒,火冰飞行超能力,1,13,茂盛,种子宝可梦,它的腰腿会为了支撑背上的花苞而变强。如果待在太阳底下一动不动的时间变长了，就表示大花即将盛开。,ＨＰ减少的时候，草属的招式威力会提高。,
妙蛙花,草毒,火冰飞行超能力,2,100,茂盛,种子宝可梦,据说充足的营养和阳光会让花儿的颜色变得更加鲜艳。花香会治愈人心。,ＨＰ减少的时候，草属的招式威力会提高。,
超级妙蛙花,草毒,火冰飞行超能力,2.4,155.5,厚脂肪,种子宝可梦,据说充足的营养和阳光会让花儿的颜色变得更加鲜艳。花香会治愈人心。,被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。,
小火龙,火,水地面岩石,0.6,8.5,勐火,蜥蜴宝可梦,天生喜欢热热的东西。据说当它被雨淋湿的时候，尾巴的末端会冒出烟来。,ＨＰ减少的时候，火属的招式威力会提高。,
火恐龙,火,水地面岩石,1.1,19,勐火,火焰宝可梦,挥动燃烧着火焰的尾巴，用锋利的爪子撕裂对手。性格十分粗暴。,ＨＰ减少的时候，火属的招式威力会提高。,
喷火龙,火飞行,水电岩石,1.7,90.5,勐火,火焰宝可梦,能够喷出猛烈的火焰，仿佛连岩石都能烤焦。有时会引发森林火灾。,ＨＰ减少的时候，火属的招式威力会提高。,
超级喷火龙Ｘ,火龙,地面岩石龙,1.7,110.5,硬爪,火焰宝可梦,会在空中飞来飞去寻找强大的对手。对于比它弱小的对手，它不会吐出那可熔化一切的高温火焰。,接触到对手的招式威力会提高。,
超级喷火龙Ｙ,火飞行,水电岩石,1.7,100.5,日照,火焰宝可梦,会在空中飞来飞去寻找强大的对手。对于比它弱小的对手，它不会吐出那可熔化一切的高温火焰。,出场时，会将天气变为晴朗。,
杰尼龟,水,草电,0.5,9,激流,小龜寶可夢,甲殼的作用不僅是用來保護自己，圓潤的外形和表面的溝槽會減少水的阻力，使牠能夠快速地游泳。,ＨＰ减少的时候，水属的招式威力会提高。,
卡咪龟,水,草电,1,22.5,激流,龜寶可夢,長滿蓬鬆毛髮的大尾巴，顏色會隨著年齡增長而變深。甲殼上的傷痕是強者的證明。,ＨＰ减少的时候，水属的招式威力会提高。,
水箭龟,水,草电,1.6,85.5,激流,甲殼寶可夢,甲殼上的噴射口能夠精確地瞄準目標。射出的水彈可以命中５０公尺外的空罐子。,ＨＰ减少的时候，水属的招式威力会提高。,
超级水箭龟,水,草电,1.6,101.1,超级发射器,甲殼寶可夢,甲殼上的噴射口能夠精確地瞄準目標。射出的水彈可以命中５０公尺外的空罐子。,波动和波导类招式的威力会提高。,
绿毛虫,虫,火飞行岩石,0.3,2.9,鳞粉,蟲寶寶寶可夢,會從頭部的觸角釋放出強烈的氣味來趕走敵人，藉此保護自己。,被鳞粉守护着，不会受到招式的追加效果影响,
