姓名,进化,属性,弱点,身高,体重,特征,数据
妙蛙种子,妙蛙草,草毒,火冰,0.7,6.9,茂盛,罗盘宝可梦会看到它在太阳底下睡午觉的样子。在沐浴了充足的阳光后，它背上的种子就会茁壮成长。ＨＰ减少的时候，草属的招式威力会提高。
妙蛙草,妙蛙花,草毒,火冰,1,13,茂盛,种子宝可梦它的腰腿会为了支撑背上的花苞而变强。如果待在太阳底下一动不动的时间变长了，就表示大花即将盛开。ＨＰ减少的时候，草属的招式威力会提高。
妙蛙花,超级妙蛙花,草毒,火冰,2,100,茂盛,种子宝可梦据说充足的营养和阳光会让花儿的颜色变得更加鲜艳。花香会治愈人心。ＨＰ减少的时候，草属的招式威力会提高。
超级妙蛙花,超级妙蛙花,草毒,火冰,2.4,155.5,厚脂肪,种子宝可梦据说充足的营养和阳光会让花儿的颜色变得更加鲜艳。花香会治愈人心。被厚厚的脂肪保护着，能够让火属和冰属招式的伤害减半。
小火龙,火恐龙,火,水,0.6,8.5,勐火,蜥蜴宝可梦天生喜欢热热的东西。据说当它被雨淋湿的时候，尾巴的末端会冒出烟来。ＨＰ减少的时候，火属的招式威力会提高。
火恐龙,喷火龙,火,水,1.1,19,勐火,火焰宝可梦挥动燃烧着火焰的尾巴，用锋利的爪子撕裂对手。性格十分粗暴。ＨＰ减少的时候，火属的招式威力会提高。
喷火龙,超级喷火龙Ｘ,火飞行,水电,1.7,90.5,勐火,火焰宝可梦能够喷出猛烈的火焰，仿佛连岩石都能烤焦。有时会引发森林火灾。ＨＰ减少的时候，火属的招式威力会提高。
超级喷火龙Ｘ,超级喷火龙Ｘ,火龙,地面,1.7,110.5,硬爪,火焰宝可梦会在空中飞来飞去寻找强大的对手。对于比它弱小的对手，它不会吐出那可熔化一切的高温火焰。接触到对手的招式威力会提高。
超级喷火龙Ｙ,超级喷火龙Ｙ,火飞行,水电,1.7,100.5,日照,火焰宝可梦会在空中飞来飞去寻找强大的对手。对于比它弱小的对手，它不会吐出那可熔化一切的高温火焰。出场时，会将天气变为晴朗。
杰尼龟,卡咪龟,水,草电,0.5,9,激流,小龟宝可梦甲壳的作用不仅是用来保护自己，圆润的外形和表面的沟槽会减少水的阻力，使牠能够快速地游泳。ＨＰ减少的时候，水属的招式威力会提高。
卡咪龟,水箭龟,水,草电,1,22.5,激流,龟宝可梦长满蓬松毛发的大尾巴，颜色会随著年龄增长而变深。甲壳上的伤痕是强者的证明。ＨＰ减少的时候，水属的招式威力会提高。
水箭龟,超级水箭龟,水,草电,1.6,85.5,激流,甲壳宝可梦甲壳上的喷射口能够精确地瞄准目标。射出的水弹可以命中５０公尺外的空罐子。ＨＰ减少的时候，水属的招式威力会提高。
超级水箭龟,超级水箭龟,水,草电,1.6,101.1,超级发射器,甲壳宝可梦甲壳上的喷射口能够精确地瞄准目标。射出的水弹可以命中５０公尺外的空罐子。波动和波导类招式的威力会提高。
绿毛虫,铁甲蛹,虫,火,0.3,2.9,鳞粉,虫宝宝宝可梦会从头部的触角释放出强烈的气味来赶走敌人，借此保护自己。被鳞粉守护着，不会受到招式的追加效果影响
铁甲蛹,巴大蝶,虫,火,0.7,9.9,蜕皮,蛹宝可梦正处于等待进化的状态。除了变硬之外什么都做不了，只能动也不动以免遭受攻击。透过蜕去身上的皮，有时会治愈异常状态。
巴大蝶,独角虫,虫飞行,火电,1.1,32,复眼,蝴蝶宝可梦当牠飞快地拍动翅膀，带有剧毒的鳞粉就会随著风向这里飘过来。因为拥有复眼，会提高招式的命中率。
独角虫,铁壳蛹,虫毒,火,0.3,3.2,鳞粉,毛毛虫宝可梦有著非常灵敏的嗅觉。能用大大的红鼻子闻出自己喜欢吃和不喜欢吃的叶子。被鳞粉守护着，不会受到招式的追加效果影响。
铁壳蛹,大针蜂,虫毒,火,0.6,10,蜕皮,蛹宝可梦虽然挂在树上几乎一动也不动，但体内正为了进化而忙碌准备著。证据就是牠的身体会变得很热。透过蜕去身上的皮，有时会治愈异常状态。
大针蜂,超级大针蜂,虫毒,火,1,29.5,虫之预感,毒蜂大针蜂非常重视自己的地盘，为了安全起见，最好不要接近牠的住处。一旦生气就会成群结队袭击而来。ＨＰ减少的时候，虫属的招式威力会提高。
超级大针蜂,超级大针蜂,虫毒,火,1.4,40.5,适应力,毒蜂大针蜂非常重视自己的地盘，为了安全起见，最好不要接近牠的住处。一旦生气就会成群结队袭击而来。与自身同属的招式威力会提高。
波波,比比鸟,一般飞行,电冰,0.3,1.8,锐利目光,小鸟宝可梦因为方向感非常好，所以无论到了离巢穴多远的地方，都能不迷路地飞回巢穴。靠着锐利的目光，命中率不会被降低。特蹒跚陷入溷乱状态时，闪避率会提高。
比比鸟,大比鸟,一般飞行,电冰,1.1,30,锐利目光,鸟宝可梦会飞在空中巡视自己广大的地盘。要是有谁胆敢侵犯牠的地盘，牠会毫不留情地用利爪狠狠教训一番。靠着锐利的目光，命中率不会被降低。特蹒跚陷入溷乱状态时，闪避率会提高。
大比鸟,超级大比鸟,一般飞行,电冰,1.5,39.5,锐利目光,鸟有著亮丽羽毛的宝可梦。有许多训练家被大比鸟头上美丽的羽毛深深吸引而开始培育牠。靠着锐利的目光，命中率不会被降低。特蹒跚陷入溷乱状态时，闪避率会提高。
超级大比鸟,超级大比鸟,一般飞行,电冰,2.2,50.5,无防守,鸟宝可梦有著亮丽羽毛的宝可梦。有许多训练家被大比鸟头上美丽的羽毛深深吸引而开始培育牠。由于无防守战术，双方使出的招式都必定会击中。
小拉达,拉达,一般,格斗,0.3,3.5,逃跑,鼠宝可梦门牙会终生生长，如果长得太长，就会因为无法进食而饿死。一定能从野生宝可梦那里逃走。特性毅力陷入异常状态时，会拿出毅力，攻击会提高。
拉达,拉达,一般,格斗,0.7,18.5,逃跑,鼠宝可梦据说牠为了躲避敌人，会用后脚的小蹼在海中游泳，渡海逃往别的岛屿。一定能从野生宝可梦那里逃走。特性毅力陷入异常状态时，会拿出毅力，攻击会提高。
烈雀,大嘴雀,一般飞行,电冰,0.3,2,锐利目光,小鸟宝可梦生性鲁莽冲动，只要是为了守护自己的地盘，即使对手是大型宝可梦也会正面迎战。靠着锐利的目光，命中率不会被降低。
大嘴雀,大嘴雀,一般飞行,电冰,1.2,38,锐利目光,鸟嘴宝可梦在大嘴雀的地盘上带著食物走动是件危险的事，食物转眼间就会被夺走。目光靠着锐利的目光，命中率不会被降低。
阿柏蛇,阿柏怪,毒,地面,2,6.9,威吓,蛇宝可梦会借由让下颚脱臼来吞食比自己更大的猎物。进食之后会蜷缩起身子休息。出场时威吓对手，使其退缩，从而降低对手的攻击。特蜕皮透过蜕去身上的皮，有时会治愈异常状态。
