妙蛙种子	妙蛙草
妙蛙草	妙蛙花
妙蛙花	超级妙蛙花
超级妙蛙花	超级妙蛙花
小火龙	火恐龙
火恐龙	喷火龙
喷火龙	超级喷火龙Ｘ
超级喷火龙Ｘ	超级喷火龙Ｘ
超级喷火龙Ｙ	超级喷火龙Ｙ
杰尼龟	卡咪龟
卡咪龟	水箭龟
水箭龟	超级水箭龟
超级水箭龟	超级水箭龟
绿毛虫	铁甲蛹
铁甲蛹	巴大蝶
巴大蝶	独角虫
独角虫	铁壳蛹
铁壳蛹	大针蜂
大针蜂	超级大针蜂
超级大针蜂	超级大针蜂
波波	比比鸟
比比鸟	大比鸟
大比鸟	超级大比鸟
超级大比鸟	超级大比鸟
小拉达	拉达
拉达	拉达
烈雀	大嘴雀
大嘴雀	大嘴雀
阿柏蛇	阿柏怪
阿柏怪	阿柏怪
皮卡丘	雷丘
雷丘	雷丘
穿山鼠	穿山王
穿山王	穿山王
尼多兰	尼多娜
尼多娜	尼多后
尼多后	无信息
尼多朗	尼多力诺
尼多力诺	尼多王
尼多王	尼多王
皮皮	皮可西
皮可西	皮可西
六尾	九尾
九尾	九尾
胖丁	胖可丁
胖可丁	胖可丁
超音蝠	大嘴蝠
大嘴蝠	无信息
走路草	臭臭花
臭臭花	霸王花
霸王花	霸王花
派拉斯	派拉斯特
派拉斯特	派拉斯特
毛球	摩鲁蛾
摩鲁蛾	摩鲁蛾
地鼠	三地鼠
三地鼠	三地鼠
猫老大	猫老大
可达鸭	哥达鸭
哥达鸭	哥达鸭
猴怪	火爆猴
火爆猴	弃世猴
卡蒂狗	风速狗
风速狗	风速狗
蚊香蝌蚪	蚊香君
蚊香君	蚊香泳士
蚊香泳士	蚊香泳士
凯西	勇基拉
勇基拉	胡地
胡地	超级胡地
超级胡地	超级胡地
腕力	豪力
豪力	怪力
怪力	怪力
喇叭芽	口呆花
口呆花	大食花
大食花	大食花
玛瑙水母	毒刺水母
毒刺水母	毒刺水母
小拳石	隆隆石
隆隆石	隆隆岩
隆隆岩	隆隆岩
小火马	烈焰马
烈焰马	烈焰马
呆呆兽	呆壳兽
呆壳兽	超级呆壳兽
超级呆壳兽	超级呆壳兽
小磁怪	三合一磁怪
三合一磁怪	自爆磁怪
大葱鸭	葱游兵
嘟嘟	嘟嘟利
嘟嘟利	嘟嘟利
小海狮	白海狮
白海狮	白海狮
臭泥	臭臭泥
臭臭泥	臭臭泥
大舌贝	刺甲贝
刺甲贝	刺甲贝
鬼斯	鬼斯通
鬼斯通	鬼斯通
耿鬼	超级耿鬼
超级耿鬼	超级耿鬼
大岩蛇	大岩蛇
催眠貘	引梦貘人
引梦貘人	引梦貘人
大钳蟹	巨钳蟹
巨钳蟹	巨钳蟹
霹雳电球	顽皮雷弹
顽皮雷弹	顽皮雷弹
蛋蛋	椰蛋树
椰蛋树	椰蛋树
卡拉卡拉	嘎啦嘎啦
嘎啦嘎啦	嘎啦嘎啦
飞腿郎	快拳郎
快拳郎	战舞郎
大舌头	大舌舔
瓦斯弹	双弹瓦斯
双弹瓦斯	双弹瓦斯
独角犀牛	钻角犀兽
钻角犀兽	超甲狂犀
吉利蛋	幸福蛋
蔓藤怪	巨蔓藤
袋兽	超级袋兽
超级袋兽	超级袋兽
墨海马	海刺龙
海刺龙	刺龙王
角金鱼	金鱼王
金鱼王	金鱼王
海星星	宝石海星
宝石海星	宝石海星
魔墙人偶	踏冰人偶
飞天螳螂	巨钳螳螂
迷唇姐	迷唇姐
电击兽	电击怪
鸭嘴火兽	鸭嘴炎兽
凯罗斯	超级凯罗斯
超级凯罗斯	超级凯罗斯
肯泰罗	肯泰罗
鲤鱼王	暴鲤龙
暴鲤龙	超级暴鲤龙
超级暴鲤龙	超级暴鲤龙
拉普拉斯	拉普拉斯
百变怪	百变怪
伊布	水伊布
水伊布	水伊布
雷伊布	雷伊布
火伊布	火伊布
多边兽	多边兽Ⅱ
菊石兽	多刺菊石兽
多刺菊石兽	多刺菊石兽
化石盔	镰刀盔
镰刀盔	镰刀盔
化石翼龙	超级化石翼龙
超级化石翼龙	超级化石翼龙
卡比兽	卡比兽
急冻鸟	急冻鸟
闪电鸟	闪电鸟
火焰鸟	火焰鸟
迷你龙	哈克龙
哈克龙	哈克龙
快龙	快龙
超梦	超级超梦Ｘ
超级超梦Ｘ	超级超梦Ｘ
梦幻	超梦
菊草叶	月桂叶
月桂叶	大竺葵
大竺葵	大竺葵
火球鼠	火岩鼠
火岩鼠	火爆兽
火爆兽	火爆兽
小锯鳄	蓝鳄
蓝鳄	大力鳄
大力鳄	大力鳄
尾立	大尾立
大尾立	大尾立
咕咕	猫头夜鹰
猫头夜鹰	猫头夜鹰
芭瓢虫	安瓢虫
安瓢虫	安瓢虫
圆丝蛛	阿利多斯
阿利多斯	阿利多斯
叉字蝠	叉字蝠
灯笼鱼	电灯怪
电灯怪	电灯怪
皮丘	皮卡丘
皮宝宝	皮皮
宝宝丁	胖丁
波克比	波克基古
波克基古	波克基斯
天然雀	天然鸟
天然鸟	天然鸟
咩利羊	茸茸羊
茸茸羊	电龙
电龙	超级电龙
超级电龙	超级电龙
美丽花	美丽花
玛力露	玛力露丽
玛力露丽	玛力露丽
树才怪	树才怪
蚊香蛙皇	蚊香蛙皇
毽子草	毽子花
毽子花	毽子棉
毽子棉	毽子棉
长尾怪手	双尾怪手
向日种子	向日花怪
向日花怪	向日花怪
蜻蜻蜓	远古巨蜓
乌波	土王
沼王	沼王
太阳伊布	太阳伊布
月亮伊布	月亮伊布
黑暗鸦	乌鸦头头
呆呆王	呆呆王
梦妖	梦妖魔
未知图腾	未知图腾
果然翁	果然翁
麒麟奇	奇麒麟
榛果球	佛烈托斯
佛烈托斯	佛烈托斯
土龙弟弟	土龙弟弟
天蝎	天蝎王
大钢蛇	超级大钢蛇
超级大钢蛇	超级大钢蛇
布鲁	布鲁皇
布鲁皇	布鲁皇
千针鱼	万针鱼
巨钳螳螂	巨钳螳螂
超级巨钳螳螂	超级巨钳螳螂
壶壶	壶壶
赫拉克罗斯	超级赫拉克罗斯
超级赫拉克罗斯	超级赫拉克罗斯
狃拉	玛狃拉
熊宝宝	圈圈熊
圈圈熊	月月熊
熔岩虫	熔岩蜗牛
熔岩蜗牛	熔岩蜗牛
小山猪	长毛猪
长毛猪	象牙猪
太阳珊瑚	魔灵珊瑚
铁炮鱼	章鱼桶
章鱼桶	章鱼桶
信使鸟	信使鸟
巨翅飞鱼	巨翅飞鱼
盔甲鸟	巨翅飞鱼
戴鲁比	黑鲁加
黑鲁加	超级黑鲁加
超级黑鲁加	超级黑鲁加
刺龙王	刺龙王
小小象	顿甲
顿甲	顿甲
多边兽Ⅱ	多边兽Ｚ
惊角鹿	诡角鹿
图图犬	图图犬
无畏小子	无畏小子
战舞郎	战舞郎
迷唇娃	迷唇姐
电击怪	电击魔兽
鸭嘴宝宝	鸭嘴火兽
大奶罐	大奶罐
幸福蛋	幸福蛋
雷公	雷公
炎帝	炎帝
水君	水君
幼基拉斯	沙基拉斯
沙基拉斯	班基拉斯
班基拉斯	超级班基拉斯
超级班基拉斯	超级班基拉斯
洛奇亚	洛奇亚
凤王	凤王
时拉比	时拉比
木守宫	森林蜥蜴
森林蜥蜴	蜥蜴王
蜥蜴王	超级蜥蜴王
超级蜥蜴王	超级蜥蜴王
火稚鸡	力壮鸡
力壮鸡	火焰鸡
火焰鸡	超级火焰鸡
超级火焰鸡	超级火焰鸡
水跃鱼	沼跃鱼
沼跃鱼	巨沼怪
巨沼怪	超级巨沼怪
超级巨沼怪	超级巨沼怪
土狼犬	大狼犬
大狼犬	大狼犬
蛇纹熊	直冲熊
直冲熊	堵拦熊
刺尾虫	甲壳茧
甲壳茧	狩猎凤蝶
狩猎凤蝶	狩猎凤蝶
盾甲茧	毒粉蛾
毒粉蛾	毒粉蛾
莲叶童子	莲帽小童
莲帽小童	乐天河童
乐天河童	乐天河童
橡实果	长鼻叶
长鼻叶	狡猾天狗
狡猾天狗	狡猾天狗
傲骨燕	大王燕
大王燕	大王燕
长翅鸥	大嘴鸥
大嘴鸥	大嘴鸥
拉鲁拉丝	奇鲁莉安
奇鲁莉安	沙奈朵
沙奈朵	超级沙奈朵
超级沙奈朵	超级沙奈朵
熘熘糖球	雨翅蛾
雨翅蛾	雨翅蛾
蘑蘑菰	斗笠菰
斗笠菰	斗笠菰
懒人獭	过动猿
过动猿	请假王
请假王	请假王
土居忍士	铁面忍者
铁面忍者	脱壳忍者
脱壳忍者	脱壳忍者
咕妞妞	吼爆弹
吼爆弹	爆音怪
爆音怪	爆音怪
幕下力士	铁掌力士
铁掌力士	铁掌力士
露力丽	玛丽露
朝北鼻	大朝北鼻
向尾喵	优雅猫
优雅猫	优雅猫
勾魂眼	超级勾魂眼
超级勾魂眼	超级勾魂眼
大嘴娃	超级大嘴娃
超级大嘴娃	超级大嘴娃
可可多拉	可多拉
可多拉	波士可多拉
波士可多拉	超级波士可多拉
超级波士可多拉	超级波士可多拉
玛沙那	恰雷姆
恰雷姆	恰雷姆
落雷兽	雷电兽
雷电兽	超级雷电兽
超级雷电兽	超级雷电兽
正电拍拍	正电拍拍
负电拍拍	负电拍拍
电萤虫	甜甜萤
甜甜萤	甜甜萤
毒蔷薇	罗丝雷朵
溶食兽	吞食兽
吞食兽	吞食兽
利牙鱼	巨牙鲨
巨牙鲨	超级巨牙鲨
超级巨牙鲨	超级巨牙鲨
